time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
2208,-2e-05,-5e-05,-7e-05,-6e-05,7e-05,-6e-05,0.0,-1e-05,1,2.0
2209,-2e-05,-5e-05,-7e-05,-6e-05,7e-05,-6e-05,0.0,-1e-05,1,2.0
2210,-2e-05,-5e-05,-7e-05,-6e-05,7e-05,-6e-05,0.0,-1e-05,1,2.0
2211,-2e-05,-5e-05,-7e-05,-6e-05,7e-05,-6e-05,0.0,-1e-05,1,2.0
2212,-2e-05,-5e-05,-7e-05,-6e-05,7e-05,-6e-05,0.0,-1e-05,1,2.0
2213,-2e-05,-5e-05,-7e-05,-6e-05,7e-05,-6e-05,0.0,-1e-05,1,2.0
2214,-2e-05,-2e-05,-2e-05,-0.00013,-0.00017,-0.00012,-4e-05,-5e-05,1,2.0
2215,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2216,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2217,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2218,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2219,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2220,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2221,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2222,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2224,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2225,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2226,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2227,-1e-05,-2e-05,0.0,0.0,-0.00017,-1e-05,-1e-05,-2e-05,1,2.0
2228,1e-05,-1e-05,-3e-05,-4e-05,-8e-05,-4e-05,0.0,-2e-05,1,2.0
2229,1e-05,-1e-05,-3e-05,-4e-05,-8e-05,-4e-05,0.0,-2e-05,1,2.0
2230,1e-05,-1e-05,-3e-05,-4e-05,-8e-05,-4e-05,0.0,-2e-05,1,2.0
2231,1e-05,-1e-05,-3e-05,-4e-05,-8e-05,-4e-05,0.0,-2e-05,1,2.0
2232,1e-05,-1e-05,-3e-05,-4e-05,-8e-05,-4e-05,0.0,-2e-05,1,2.0
2233,1e-05,-1e-05,-3e-05,-4e-05,-8e-05,-4e-05,0.0,-2e-05,1,2.0
2234,1e-05,-1e-05,-3e-05,-4e-05,-8e-05,-4e-05,0.0,-2e-05,1,2.0
2235,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2236,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2239,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2240,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2241,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2242,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2243,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2244,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2245,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2246,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2247,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2248,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2249,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2250,-1e-05,-4e-05,2e-05,-6e-05,-4e-05,-2e-05,-1e-05,2e-05,1,2.0
2251,2e-05,2e-05,3e-05,4e-05,-0.0002,-1e-05,-4e-05,-2e-05,1,2.0
2252,2e-05,2e-05,3e-05,4e-05,-0.0002,-1e-05,-4e-05,-2e-05,1,2.0
2253,1e-05,2e-05,3e-05,-2e-05,-0.00022,-7e-05,4e-05,1e-05,1,2.0
2254,1e-05,2e-05,3e-05,-2e-05,-0.00022,-7e-05,4e-05,1e-05,1,2.0
2255,1e-05,2e-05,3e-05,-2e-05,-0.00022,-7e-05,4e-05,1e-05,1,2.0
2256,1e-05,2e-05,3e-05,-2e-05,-0.00022,-7e-05,4e-05,1e-05,1,2.0
2257,1e-05,2e-05,3e-05,-2e-05,-0.00022,-7e-05,4e-05,1e-05,1,2.0
2258,1e-05,2e-05,3e-05,-2e-05,-0.00022,-7e-05,4e-05,1e-05,1,2.0
2259,1e-05,2e-05,3e-05,-2e-05,-0.00022,-7e-05,4e-05,1e-05,1,2.0
2260,1e-05,2e-05,3e-05,-2e-05,-0.00022,-7e-05,4e-05,1e-05,1,2.0
